GPS1,GPS2,Species,Group,Time,General Location,Comments 
205886,62516,Redtails,SUK,NA,Karambi rd.,
205886,62516,Redtails,SUK,NA,Karambi rd.,
205886,62516,Redtails,SUK,NA,Karambi rd.,
205852,62426,Redtails,SUK,NA,Trail 4/Karambi,
205852,62426,Redtails,SUK,NA,Trail 4/Karambi,
205852,62426,Redtails,SUK,NA,Trail 4/Karambi,
205852,62426,Redtails,SUK,NA,Trail 4/Karambi,
205969,62604,Redtails,SUK,NA,Census rd.,
205969,62604,Redtails,SUK,NA,Census rd.,
206044,62503,Redtails,SUK,NA,R/Karambi,
206020,62391,Redtails,SUK,NA,S/8,
206020,62391,Redtails,SUK,NA,S/8,
205913,62432,Redtails,SUK,NA,Q/5,
205843,62507,Redtails,SUK,NA,Karambi rd.,
205843,62507,Redtails,SUK,NA,Karambi rd.,
205965,62600,Redtails,SUK,NA,Census rd.,
206111,62631,Redtails,SUK,NA,Q/11,
206133,62640,Redtails,SUK,NA,Q/12,
206133,62640,Redtails,SUK,NA,Q/12,
206133,62640,Redtails,SUK,NA,Q/12,
205728,62360,Redtails,KYO,NA,Nursery rd.,
205853,62191,Redtails,KYO,NA,MUBFS,
205853,62191,Redtails,KYO,NA,MUBFS,
205871,62309,Redtails,KYO,NA,R/Blaze,
205871,62309,Redtails,KYO,NA,R/Blaze,
205906,62200,Redtails,KYO,NA,Baboon trail/MUBFS,
205906,62200,Redtails,KYO,NA,Baboon trail/MUBFS,
205853,62191,Redtails,KYO,NA,MUBFS,
205853,62191,Redtails,KYO,NA,MUBFS,
205853,62191,Redtails,KYO,NA,MUBFS,
205853,62191,Redtails,KYO,NA,MUBFS,
205853,62191,Redtails,KYO,NA,MUBFS,
205690,62626,Redtails,KYO,NA,Trail/13,
205681,62753,Redtails,KYO,NA,Mikana logged,
205787,62780,Redtails,KYO,NA,Mikana logged,
205787,62780,Redtails,KYO,NA,Mikana logged,
205787,62780,Redtails,KYO,NA,Mikana logged,
205808,62543,Redtails,KYO,NA,Trail/12,
205808,62543,Redtails,KYO,NA,Trail/12,
205775,62506,Redtails,KYO,NA,Basuta house,
205775,62506,Redtails,KYO,NA,Basuta house,
205775,62506,Redtails,KYO,NA,Basuta house,
205690,62626,Redtails,KYO,NA,Trail/13,
205690,62626,Redtails,KYO,NA,Trail/13,
205425,62422,Redtails,KYO,NA,Tea-swamp,
205425,62422,Redtails,KYO,NA,Tea-swamp,
205558,62257,Redtails,KYO,NA,Park-boundary,
205715,62245,Redtails,KYO,NA,Middle camp,
205715,62245,Redtails,KYO,NA,Middle camp,
205715,62245,Redtails,KYO,NA,Middle camp,
205715,62245,Redtails,KYO,NA,Middle camp,
205715,62245,Redtails,KYO,NA,Middle camp,
205715,62245,Redtails,KYO,NA,Middle camp,
205817,62751,Redtails,KYO,NA,Mikana logged,
205619,62663,Redtails,KYO,NA,Mikana logged,
205619,62663,Redtails,KYO,NA,Mikana logged,
205619,62663,Redtails,KYO,NA,Mikana logged,
205598,62605,Redtails,KYO,NA,NA,
205598,62605,Redtails,KYO,NA,NA,
205614,62550,Redtails,KYO,NA,Nursary,
205614,62550,Redtails,KYO,NA,Nursary,
206149,62636,Redtails,BATEKAINE,NA,R/11,High canopy area 
206149,62636,Redtails,BATEKAINE,NA,R/11,
206106,62548,Redtails,BATEKAINE,NA,R/10,
206106,62548,Redtails,BATEKAINE,NA,R/10,
205985,62562,Redtails,BATEKAINE,NA,Census rd./Q8,
205985,62562,Redtails,BATEKAINE,NA,Census rd./Q9,
205985,62562,Redtails,BATEKAINE,NA,Census rd./Q10,
205985,62562,Redtails,BATEKAINE,NA,Census rd./Q11,
205985,62562,Redtails,BATEKAINE,NA,Census rd./Q12,
205985,62562,Redtails,BATEKAINE,NA,Census rd./Q13,
206106,62548,Redtails,BATEKAINE,NA,R/10,
206106,62548,Redtails,BATEKAINE,NA,R/11,
206106,62548,Redtails,BATEKAINE,NA,R/12,
206138,62544,Redtails,BATEKAINE,NA,S/11,Group found 
206188,62607,Redtails,BATEKAINE,NA,R/12,
