Species,J #,Tag #,DBH,GPS 1 (N),GPS 2 (E),Error,Mon/Year
Chaetacme aristata,J0964,516,14.5,205862,62212,4,Jan-16
Blighia unijugata,J0966,522,17,205847,62215,5,Jan-16
Lovoa,J0967,527,11,205847,62216,4,Jan-16
Mimusops bagshaweii,J0968,1760,10.4,205843,62222,4,Jan-16
Trichillia,J0970,1757,11.5,205839,62221,5,Jan-16
Bosquiea phoberos,J0971,531,21.8,205841,62225,5,Jan-16
Blighia unijugata,J0973,533,14.3,205843,62223,5,Jan-16
Mimusops bagshaweii,J0974,532,33.7,205846,62223,5,Jan-16
Celtis durandii,J0976,1755,10.9,205845,62228,3,Jan-16
Celtis durandii,J0977,1752,10.9,205849,62227,3,Jan-16
Celtis durandii,J0978,1753,11.9,205848,62228,3,Jan-16
Strombosia scheffleri,J0979,1754,14,205847,62223,4,Jan-16
Celtis durandii,J0981,1761,11.9,205841,62224,4,Jan-16
Celtis durandii,J0982,535,11.5,205841,62222,5,Jan-16
Bosquiea phoberos,J0983,9260,21.8,205841,62226,4,Jan-16
Teclea nobilis,J0984,1758,10.9,205838,62221,4,Jan-16
Bosquiea phoberos,J0985,1765,16.3,205836,62246,4,Jan-16
Bosquiea phoberos,J0987,1767,15.3,205836,62245,3,Jan-16
Celtis africana,J0988,7382,18.9,205867,62215,4,Jan-16
Syzygium cordatum,J0989,518,17.9,205863,62217,3,Jan-16
Bosquiea phoberos,J0991,9961,35.6,205873,62213,6,Jan-16
Diospyros abyssinica,J0993,6969,14.3,205869,62212,6,Jan-16
Mimusops bagshaweii,J0994,7287,30,205879,62220,5,Jan-16
Chrosophyllum albidum,J0996,6970,26,205883,62214,4,Jan-16
Celtis africana,J0998,6971,14.9,205882,62214,4,Jan-16
Chaetacme aristata,J0999,6972,11.4,205885,62226,4,Jan-16
Celtis africana,J1000,6973,10.8,205884,62226,5,Jan-16
Pancovia,J1001,9268,18.1,205886,62226,5,Jan-16
Celtis africana,J1002,7396,14.3,205874,62225,6,Jan-16
Celtis africana,J1003,6981,12,205882,62218,7,Jan-16
Bosquiea phoberos,J1004,6982,14.8,205886,62221,7,Jan-16
Teclea nobilis,J1006,6983,12.7,205895,62231,5,Jan-16
Myrianthus,J1007,6979,11.2,205882,62219,6,Jan-16
Aphania senegalensis,J1009,6978,13.1,205879,62232,5,Jan-16
Strombosia scheffleri,J1011,6977,17.7,205879,62230,4,Jan-16
Bosquiea phoberos,J1013,9239,24.1,205885,62242,5,Jan-16
Bosquiea phoberos,J1015,6984,17.7,205879,62233,6,Jan-16
Beilschmiedia ugandensis,J1017,6986,15.5,205887,62242,5,Jan-16
Milletia dura,J1019,6985,10.6,205892,62240,6,Feb-16
Bosquiea phoberos,J1020,6996,15.2,205898,62238,6,Feb-16
Strombosia scheffleri,J1022,6995,20.5,205893,62246,3,Feb-16
Strombosia scheffleri,J1024,6997,13,205898,62250,5,Feb-16
Myrianthus,J1026,7128,23.7,205895,62254,5,Feb-16
Bosquiea phoberos,J1028,6998,23.6,205888,62258,6,Feb-16
Bosquiea phoberos,J1029,6999,14.4,205881,62265,5,Feb-16
Strombosia scheffleri,J1031,7000,20.7,205888,62256,5,Feb-16
Bosquiea phoberos,J1033,6988,12.2,205890,62251,6,Feb-16
Funtumia,J1034,6987,10.5,205880,62244,4,Feb-16
Celtis durandii,J1036,6991,23.9,205882,62251,4,Feb-16
Milletia dura,J1037,6992,14.2,205878,62249,4,Feb-16
Funtumia ,J1038,1710,12,205868,62254,5,Feb-16
Chrosophyllum albidum,J1040,1709,10,205880,62263,5,Feb-16
Fagaropsis angolensis,J1042,1711,16.8,205877,62251,5,Feb-16
Strombosia scheffleri,J1043,1708,22,205879,62264,5,Feb-16
Bosquiea phoberos,J1045,1713,14.8,205877,62263,5,Feb-16
Ficus exasperata,J1047,1712,49.9,205878,62254,7,Feb-16
Teclea nobilis,J1048,1727,10.8,205873,62250,6,Feb-16
Strombosia scheffleri,J1049,7982,15.5,205878,62247,3,Feb-16
Chrosophyllum albidum,J1051,1722,19.1,205866,62255,4,Feb-16
Teclea nobilis,J1053,1724,10.2,205858,62247,4,Feb-16
Rothmannia,J1054,1714,10.8,205872,62257,4,Feb-16
Bosquiea phoberos,J1056,1717,15.2,205867,62264,4,Feb-16
Bosquiea phoberos,J1057,1720,17.3,205871,62271,5,Feb-16
Teclea nobilis,J1058,1796,16.2,205857,62266,5,Feb-16
Strombosia scheffleri,J1059,1718,20.6,205870,62274,5,Feb-16
Chrosophyllum albidum,J1061,1719,17.3,205863,62254,7,Feb-16
Bosquiea phoberos,J1062,1797,11.9,205859,62267,4,Feb-16
Bosquiea phoberos,J1064,1732,20.7,205865,62241,5,Feb-16
Aningeria altissima,J1066,1741,13.5,205869,62241,5,Feb-16
Bosquiea phoberos,J1068,1733,20.6,205868,62245,4,Feb-16
Bosquiea phoberos,J1070,1798,10.2,205876,62240,4,Feb-16
Bosquiea phoberos,J1071,1740,16.5,205871,62236,8,Feb-16
Celtis durandii,J1073,1739,17.5,205883,62240,6,Feb-16
Bosquiea phoberos,J1074,1742,13,205864,62236,3,Feb-16
Uadenia emence,J1075,1738,11.1,205868,62245,6,Feb-16
Bosquiea phoberos,J1076,1743,10.4,205860,62232,4,Feb-16
Bosquiea phoberos,J1078,1750,16.4,205871,62233,4,Feb-16
Strombosia scheffleri,J1080,1790,14.2,205855,62240,4,Feb-16
Bosquiea phoberos,J1082,1789,14.2,205855,62242,3,Feb-16
Bosquiea phoberos,J1083,7393,20.4,205859,62249,4,Feb-16
Chaetacme aristata,J1085,1794,12.4,205855,62260,4,Feb-16
Chrosophyllum albidum,J1086,1795,10.3,205855,62258,4,Feb-16
Teclea nobilis,J1088,1793,11.3,205855,62254,3,Feb-16
Chaetacme aristata,J1090,1792,19.9,205858,62263,3,Feb-16
Bosquiea phoberos,J1091,1783,17.9,205853,62250,4,Feb-16
Mimusops bagshaweii,J1092,1780,13.3,205837,62255,4,Feb-16
Leptonychia mildbraedii,J1094,1784,10,205854,62251,4,Feb-16
Leptonychia mildbraedii,J1095,1782,16.5,205844,62254,4,Feb-16
Chaetacme aristata,J1096,1781,10.3,205846,62248,4,Feb-16
Bosquiea phoberos,J1097,1778,17.7,205841,62261,4,Feb-16
Chrosophyllum albidum,J1099,1779,15.4,205842,62260,4,Feb-16
Chaetacme aristata,J1101,1777,11,205841,62267,4,Feb-16
Bosquiea phoberos,J1103,7395,14.8,205821,62252,5,Feb-16
Mimusops bagshaweii,J1104,1773,24.9,205822,62251,4,Feb-16
Aphania senegalensis,J1106,1771,10,205830,62256,5,Feb-16
Bosquiea phoberos,J1108,1768,14,205835,62244,4,Feb-16
Dovyalis macrocalyx,J1109,1770,10.8,205833,62249,4,Feb-16
Beilschmiedia ugandensis,J1111,5001,11.1,205824,62259,3,Feb-16
Chrosophyllum albidum,J1112,5002,25.5,205815,62245,3,Feb-16
Celtis durandii,J1114,5003,17.4,205825,62248,4,Feb-16
Blighia unijugata,J1115,5004,23.8,205844,62245,4,Feb-16
Celtis africana,J1117,5005,15.8,205823,62252,3,Feb-16
Bosquiea phoberos,J1118,5006,12,205817,62247,4,Feb-16
Bosquiea phoberos,J1120,5007,10.1,205815,62246,3,Feb-16
Bosquiea phoberos,J1121,7397,20.5,205819,62243,4,Feb-16
Chrosophyllum albidum,J1122,537,16.4,205830,62231,4,Feb-16
Celtis durandii,J1123,5008,10,205827,62228,3,Feb-16
Blighia unijugata,J1124,5009,10.6,205826,62233,3,Feb-16
Celtis durandii,J1125,7885,29.91,205814,62233,3,Feb-16
Diospyros abyssinica,J1126,9361,27.1,205813,62237,3,Feb-16
Bosquiea phoberos,J1127,5010,15.5,205821,62238,4,Feb-16
Bosquiea phoberos,J1128,540,11.5,205816,62241,4,Feb-16
Bosquiea phoberos,J1130,541,15.7,205817,62244,4,Feb-16
Bosquiea phoberos,J1132,542,13,205815,62245,4,Feb-16
Bosquiea phoberos,J1133,543,14.4,205813,62239,5,Feb-16
Chrosophyllum albidum,J1135,545,22.9,205808,62243,3,Feb-16
Mimusops bagshaweii,J1136,547,30.9,205803,62244,3,Feb-16
Bosquiea phoberos,J1138,548,17.8,205802,62243,4,Feb-16
Bosquiea phoberos,J1140,550,40,205798,62247,4,Feb-16
Blighia unijugata,J1142,549,11.4,205800,62241,5,Feb-16
Trichillia,J1144,551,11.5,205800,62248,7,Feb-16
Celtis africana,J1145,5011,10,205811,62231,4,Feb-16
Blighia unijugata,J1146,5012,10.1,205808,62235,4,Feb-16
Diospyros abyssinica,J1148,546,NA,205809,62230,5,Feb-16
Chaetacme aristata,J1149,5015,12.1,205860,62278,4,Feb-16
Bosquiea phoberos,J1150,5016,13,205849,62274,3,Feb-16
Teclea nobilis,J1152,9240,20.7,205855,62256,4,Feb-16
Bosquiea phoberos,J1154,9241,23.2,205853,62277,5,Feb-16
Teclea nobilis,J1155,5018,10.2,205853,62270,4,Feb-16
Bosquiea phoberos,J1156,7911,27.4,205846,62269,5,Feb-16
Beilschmiedia ugandensis,J1157,5022,15.6,205848,62266,4,Feb-16
Chrosophyllum albidum,J1158,5021,31.6,205839,62275,4,Feb-16
Chrosophyllum albidum,J1160,5019,21.9,205842,62275,4,Feb-16
Symphonia globulifera,J1161,5020,11.1,205839,62279,3,Feb-16
Strombosia scheffleri,J1162,5024,15.6,205827,62265,4,Feb-16
Strombosia scheffleri,J1163,5025,14.5,205822,62260,4,Feb-16
Strombosia scheffleri,J1165,5027,10.2,205825,62266,3,Feb-16
Bosquiea phoberos,J1166,5026,18.2,205832,62264,4,Feb-16
Strombosia scheffleri,J1167,5028,14.4,205825,62273,4,Feb-16
Lovoa,J1169,5030,12.3,205827,62271,3,Feb-16
Monodora myristica,J1170,5029,39.5,205827,62267,4,Feb-16
Rothmannia longiflora,J1171,5031,10.9,205823,62272,4,Feb-16
Pancovia turbinata,J1173,5034,10.7,205835,62288,3,Feb-16
Funtumia,J1174,5035,14.9,205829,62289,3,Feb-16
Chrosophyllum albidum,J1176,5037,11.9,205831,62290,3,Feb-16
Myrianthus,J1178,5038,27.1,205832,62288,3,Feb-16
Antiaris toxicaria,J1179,5039,10.1,205834,62283,4,Feb-16
Celtis africana,J1180,5040,16,205832,62288,4,Feb-16
Fagaropsis angolensis,J1181,5042,10.8,205846,62268,5,Feb-16
Celtis africana,J1182,5046,13.6,205828,62294,3,Feb-16
Mimusops bagshaweii,J1183,5047,10.4,205825,62295,4,Feb-16
Bosquiea phoberos,J1184,5048,15.4,205825,62293,4,Feb-16
Celtis durandii,J1185,5050,19.8,205816,62285,3,Feb-16
Funtumia,J1186,5051,17.5,205833,62291,3,Feb-16
Monodora myristica,J1188,5052,75,205816,62295,3,Feb-16
Bosquiea phoberos,J1189,5053,19.5,205820,62303,4,Feb-16
Tabernaemontana,J1190,5055,14.5,205819,62292,3,Feb-16
Tabernaemontana,J1191,5056,11.1,205814,62302,4,Feb-16
Funtumia,J1193,5057,11.4,205809,62296,3,Feb-16
Bosquiea phoberos,J1195,5058,12.3,205812,62278,4,Feb-16
Chrosophyllum albidum,J1196,5059,39.1,205811,62281,3,Feb-16
Casearia runssorica,J1198,5060,25.9,205816,62274,3,Feb-16
Beilschmiedia ugandensis,J1199,5061,12.1,205824,62267,4,Feb-16
Bosquiea phoberos,J1200,5062,12.9,205817,62275,3,Feb-16
Erysophyllum albidum,J1202,5065,13.4,205810,62292,4,Feb-16
Aphania senegalensis,J1204,5066,10.2,205808,62297,4,Feb-16
Strombosia scheffleri,J1205,5068,10.5,205815,62299,4,Feb-16
Uadenia emence,J1207,5069,11.7,205806,62301,3,Feb-16
Diospyros abyssinica,J1208,5070,10.3,205805,62292,3,Feb-16
Myrianthus,J1209,5072,41.7,205809,62296,3,Feb-16
Strombosia scheffleri,J1211,5075,20.3,205798,62301,4,Feb-16
Strombosia scheffleri,J1213,5076,12.6,205800,62295,3,Feb-16
Trichillia,J1215,5074,10.5,205792,62302,3,Feb-16
Strombosia scheffleri,J1216,5077,11.5,205793,62302,3,Feb-16
Diospyros abyssinica,J1218,5078,10,205792,62297,3,Feb-16
Strombosia scheffleri,J1219,5079,11.7,205789,62303,3,Feb-16
Funtumia,J1221,5080,10,205784,62304,3,Feb-16
Funtumia,J1222,5080,10,205784,62304,3,Feb-16
Strombosia scheffleri,J1223,5082,11,205783,62307,4,Feb-16
Celtis africana,J1225,5083,10.3,205786,62309,4,Feb-16
Strombosia scheffleri,J1226,5084,10.2,205774,62312,3,Feb-16
Erythrina abyssinica,J1227,5085,13.1,205776,62298,3,Feb-16
Strombosia scheffleri,J1228,5086,12.7,205769,62305,3,Feb-16
Celtis durandii,J1230,5087,16.6,205773,62301,3,Feb-16
Neoboutonia,J1231,5089,45.3,205766,62300,3,Feb-16
Fagara angolensis,J1233,5088,32.3,205770,62293,3,Feb-16
Celtis durandii,J1235,5090,19.7,205787,62291,4,Feb-16
Bosquiea phoberos,J1236,5092,10.3,205806,62295,3,Feb-16
Bosquiea phoberos,J1237,5093,11.9,205806,62296,3,Feb-16
Bosquiea phoberos,J1238,5094,12.8,205803,62290,4,Feb-16
Diospyros abyssinica,J1239,5095,45.9,205809,62285,4,Feb-16
Ritchiea albersii,J1240,5096,28.1,205805,62284,4,Feb-16
Bosquiea phoberos,J1242,5097,10,205795,62287,5,Feb-16
Bosquiea phoberos,J1243,5098,11,205795,62287,3,Feb-16
Bosquiea phoberos,J1244,5099,18,205799,62282,3,Feb-16
Celtis africana,J1246,5102,11.1,205791,62283,3,Feb-16
Trichillia,J1247,5103,12,205792,62285,4,Feb-16
Strombosia scheffleri,J1248,5104,13.4,205784,62283,4,Feb-16
Funtumia,J1250,5105,12.1,205783,62288,4,Feb-16
Newtonia buchananii,J1252,5106,11.3,205777,62284,3,Feb-16
Celtis durandii,J1253,5197,10.2,205778,62283,3,Feb-16
Celtis durandii,J1254,5108,12.5,205784,62284,4,Feb-16
Bosquiea phoberos,J1255,5109,26.5,205788,62274,5,Feb-16
Mimusops bagshaweii,J1256,5110,21.1,205791,62279,4,Feb-16
Bosquiea phoberos,J1258,5111,10.5,205790,62268,3,Feb-16
Celtis durandii,J1259,5113,20.2,205780,62276,3,Feb-16
Albizia grandibracteata,J1260,5116,25.4,205782,62286,3,Feb-16
Trichillia,J1261,5114,16.4,205778,62283,3,Feb-16
Monodora myristica,J1262,5115,13.3,205778,62273,3,Feb-16
Ficus brachylepis,J1264,5117,NA,205786,62277,4,Feb-16
Bosquiea phoberos,J1265,5118,12.3,205793,62287,5,Feb-16
Bosquiea phoberos,J1266,5119,15.2,205805,62272,4,Feb-16
Chrosophyllum albidum,J1267,5131,14.5,205812,62279,4,Feb-16
Chrosophyllum albidum,J1268,5121,11.2,205827,62259,3,Feb-16
Bosquiea phoberos,J1269,5122,10.4,205821,62256,3,Feb-16
Aningeria altissima,J1270,5123,12.5,205826,62259,3,Feb-16
Aningeria altissima,J1272,5124,11.4,205822,62260,3,Feb-16
Casearia runssorica,J1273,5127,21.3,205817,62263,3,Feb-16
Bosquiea phoberos,J1275,5128,26.8,205820,62264,3,Feb-16
Celtis durandii,J1277,7245,18.2,205790,62270,5,Feb-16
Celtis durandii,J1278,5133,18.6,205787,62264,4,Feb-16
Parinari excelsa,J1279,5134,27.4,205800,62261,3,Feb-16
Bosquiea phoberos,J1281,5135,14.3,205803,62267,3,Feb-16
Cassipourea ruwensorensis,J1282,5136,11.5,205801,62267,3,Feb-16
Bosquiea phoberos,J1283,5137,13.5,205808,62272,4,Feb-16
Mimusops bagshaweii,J1285,5138,23.8,205808,62281,4,Feb-16
Strombosia scheffleri,J1286,5139,17.2,205806,62266,4,Feb-16
Trichillia,J1288,5140,10.9,205796,62268,3,Feb-16
Markhamia platycalyx,J1289,5141,10,205795,62264,3,Feb-16
Monodora myristica,J1290,5142,10,205795,62260,3,Feb-16
Trichillia,J1291,571,20.3,205798,62258,3,Feb-16
Bosquiea phoberos,J1292,568,12.8,205792,62264,4,Feb-16
Bosquiea phoberos,J1294,5143,11.1,205792,62255,3,Feb-16
Celtis africana,J1295,572,12.7,205801,62252,3,Feb-16
Celtis durandii,J1296,563,27.2,205796,62252,3,Feb-16
Funtumia,J1297,5144,14.1,205796,62259,3,Feb-16
Celtis durandii,J1299,567,20.4,205790,62261,3,Feb-16
Celtis durandii,J1300,5145,34.2,205797,62258,3,Feb-16
Aningeria altissima,J1301,5146,14.8,205790,62263,3,Feb-16
Fagaropsis angolensis,J1302,5147,10,205798,62258,4,Feb-16
Bosquiea phoberos,J1303,5148,11.7,205809,62258,4,Mar-16
Celtis africana,J1304,5149,17.5,205803,62259,4,Mar-16
Bosquiea phoberos,J1305,5150,11.5,205806,62258,3,Mar-16
Bosquiea phoberos,J1306,5151,10.5,205819,62259,4,Mar-16
Lovoa,J1307,5152,10.5,205811,62254,4,Mar-16
Blighia unijugata,J1308,552,12.8,205812,62262,4,Mar-16
Mimusops bagshaweii,J1309,553,13.4,205816,62251,4,Mar-16
Celtis africana,J1311,5153,10.4,205809,62252,4,Mar-16
Olea welwitschii,J1312,556,77.1,205808,62252,5,Mar-16
Bosquiea phoberos,J1313,5154,13.7,205811,62256,4,Mar-16
Bosquiea phoberos,J1314,558,22.9,205800,62247,5,Mar-16
Strombosia scheffleri,J1315,555,16.4,205798,62252,3,Mar-16
Celtis durandii,J1317,5155,37.6,205796,62249,6,Mar-16
Cordia abyssinica,J1318,562,22.9,205795,62253,3,Mar-16
Trema orientalis,J1319,7132,45.7,205777,62260,3,Mar-16
Fagaropsis angolensis,J1321,735,64,205830,62138,3,Mar-16
Celtis africana,J1323,737,15.6,205833,62148,3,Mar-16
Passia americana,J1324,734,54,205830,62150,3,Mar-16
Milletia dura,J1326,5158,13.5,205840,62179,3,Mar-16
Bridelia micrantha,J1327,5159,18.3,205836,62178,3,Mar-16
Callistemon citrunus,J1329,9308,61,205835,62190,3,Mar-16
Callistemon citrunus,J1330,7958,46.5,205826,62190,3,Mar-16
Sapium,J1331,9297,54,205833,62190,3,Mar-16
Coffee robuster,J1333,5160,37.4,205841,62191,3,Mar-16
Callistemon citrunus,J1334,7893,23.3,205829,62176,3,Mar-16
Ficus brachypoda,J1336,784,70.8,205828,62177,3,Mar-16
Erythrina abyssinica,J1337,783,23.7,205820,62170,3,Mar-16
Callistemon citrunus,J1338,5161,41.9,205817,62169,3,Mar-16
Callistemon citrunus,J1339,732,53.1,205819,62178,3,Mar-16
Callistemon citrunus,J1341,733,73.4,205820,62179,3,Mar-16
Pseudospondias  microcarpa,J1342,780,107.5,205796,62179,3,Mar-16
Cordia millenii,J1344,728,54,205794,62152,3,Mar-16
Acrocarpus,J1345,5164,73,205793,62200,3,Mar-16
Pseudospondias  microcarpa,J1347,5165,61.2,205809,62211,3,Mar-16
Fagaropsis angolensis,J1349,739,24.6,205782,62212,3,Mar-16
Albizia grandibracteata,J1350,740,34.3,205765,62261,3,Mar-16
Fagara angolensis,J1351,7944,101.1,205758,62252,3,Mar-16
Funtumia,J1352,5167,40.3,205755,62256,3,Mar-16
Lovoa,J1354,1191,12.5,205747,62253,3,Mar-16
Albizia gummifera,J1354,741,70.5,205747,62261,3,Mar-16
Maesa lanceolata,J1355,5168,10.9,205748,62249,3,Mar-16
Fagara angolensis,J1356,1190,86,205750,62257,3,Mar-16
Fagara angolensis,J1359,750,30.7,205738,62258,3,Mar-16
Maesa lanceolata,J1360,1184,19,205733,62258,3,Mar-16
Albizia grandibracteata,J1361,5169,11.2,205741,62257,3,Mar-16
Maesa lanceolata,J1363,5170,10.5,205740,62253,3,Mar-16
Maesa lanceolata,J1364,744,32,205758,62235,3,Mar-16
Fagaropsis angolensis,J1365,5174,22.3,205765,62200,3,Mar-16
Fagara angolensis,J1366,5210,60.5,205761,62203,3,Mar-16
Albizia gummifera,J1368,5212,27.3,205762,62195,3,Mar-16
Markhamia platycalyx,J1369,7096,81,205775,62205,3,Mar-16
Neoboutonia,J1370,748,19.4,205760,62226,3,Mar-16
Fagara angolensis,J1372,749,69.4,205750,62222,3,Mar-16
Fagara angolensis,J1374,760,24.6,205752,62228,3,Mar-16
Funtumia,J1376,5214,85.7,205752,62226,4,Mar-16
Maesa lanceolata,J1378,5215,10.9,205751,62222,3,Mar-16
Fagara angolensis,J1379,1200,66.1,205749,62216,3,Mar-16
Maesa lanceolata,J1381,1101,17.9,205746,62214,3,Mar-16
Fagara angolensis,J1382,1195,29.6,205746,62216,3,Mar-16
Vernonia amygdalina,J1383,1197,12.2,205742,62223,3,Mar-16
Lovoa,J1385,5217,10,205747,62229,5,Mar-16
Fagara angolensis,J1386,755,19,205750,62235,4,Mar-16
Fagara angolensis,J1387,5218,36.2,205744,62236,3,Mar-16
Diospyros abyssinica,J1389,757,19.4,205741,62236,5,Mar-16
Scolopia rhaminiphyllum,J1390,758,35.3,205741,62232,5,Mar-16
Polyscias fulva,J1392,5219,10.9,205738,62244,5,Mar-16
Celtis durandii,J1394,1193,40.2,205735,62256,3,Mar-16
Fagara angolensis,J1395,1185,21.7,205731,62256,4,Mar-16
Maesa lanceolata,J1396,5223,10.6,205731,62258,3,Mar-16
Celtis africana,J1397,5224,13.7,205735,62251,3,Mar-16
Funtumia,J1398,751,94,205720,62246,4,Mar-16
Celtis africana,J1400,1189,57.7,205730,62241,3,Mar-16
Maesa lanceolata,J1401,1155,15.8,205721,62238,3,Mar-16
Celtis durandii,J1402,752,30.9,205721,62238,3,Mar-16
Celtis africana,J1403,1161,22,205731,62240,3,Mar-16
Celtis africana,J1404,5225,31.7,205731,62235,4,Mar-16
Celtis durandii,J1405,1154,45.3,205728,62227,3,Mar-16
Celtis durandii,J1406,5226,18.6,205730,62227,4,Mar-16
Celtis durandii,J1407,7229,48.3,205735,62221,3,Mar-16
Markhamia platycalyx,J1408,629,43.9,205735,62215,4,Apr-16
Celtis africana,J1410,9999,74.1,205724,62225,4,Apr-16
Maesa lanceolata,J1411,5227,11.6,205728,62234,4,Apr-16
Celtis durandii,J1413,1183,12.3,205720,62232,3,Apr-16
Ficus exasperata,J1415,1188,19.2,205722,62227,4,Apr-16
Maesa lanceolata,J1416,5228,11.7,205730,62234,4,Apr-16
Maesa lanceolata,J1418,1165,17,205729,62236,3,Apr-16
Passia americana,J1420,5230,10,205719,62228,3,Apr-16
Maesa lanceolata,J1422,644,16.7,205730,62226,4,Apr-16
Maesa lanceolata,J1424,5231,NA,205723,62233,4,Apr-16
Myrianthus,J1426,645,NA,205722,62230,4,Apr-16
Fagara angolensis,J1427,643,68.1,205718,62228,4,Apr-16
Maesa lanceolata,J1429,5232,14.2,205713,62227,4,Apr-16
Celtis durandii,J1431,9991,22.5,205714,62225,3,Apr-16
Funtumia,J1433,628,26.1,205712,62227,4,Apr-16
Fagara angolensis,J1435,7624,28.9,205710,62233,4,Apr-16
Celtis africana,J1435,5233,31.7,205711,62233,4,Apr-16
Ficus exasperata,J1437,5234,11,205717,62236,3,Apr-16
Celtis africana,J1438,5235,42.1,205714,62235,3,Apr-16
Maesa lanceolata,J1439,5236,11.9,205713,62231,3,Apr-16
Diospyros abyssinica,J1441,627,32.3,205706,62220,3,Apr-16
Funtumia,J1443,392,57.9,205720,62220,3,Apr-16
Markhamia platycalyx,J1445,642,14.7,205722,62217,3,Apr-16
Celtis africana,J1447,9995,42,205737,62214,3,Apr-16
Celtis durandii,J1448,7071/640,11,205709,62214,3,Apr-16
Maesa lanceolata,J1449,5238,11,205707,62215,3,Apr-16
Celtis africana,J1451,5239,10.8,205704,62216,4,Apr-16
Celtis africana,J1452,623,37.8,205701,62212,4,Apr-16
Diospyros abyssinica,J1453,625,56.5,205706,62229,4,Apr-16
Celtis durandii,J1454,624/9990,22.6,205704,62229,3,Apr-16
Diospyros abyssinica,J1456,621,23.3,205701,62226,3,Apr-16
Celtis durandii,J1457,622,34.3,205701,62222,3,Apr-16
Celtis durandii,J1459,,18.1,205696,62218,4,Apr-16
Oxyanthus,J1461,618,12.5,205696,62218,4,Apr-16
Celtis durandii,J1463,7227,27.7,205688,62220,3,Apr-16
Fagaropsis angolensis,J1465,626,11.2,205699,62229,4,Apr-16
Maesa lanceolata,J1466,5240,15.3,205698,62229,3,Apr-16
Celtis africana,J1468,900,35.5,205699,62226,3,Apr-16
Celtis durandii,J1469,7232,40.2,205703,62232,3,Apr-16
Celtis durandii,J1471,7580,12.3,205701,62234,3,Apr-16
Allophyllus abyssinicus,J1473,5241,11,205694,62232,3,Apr-16
Diospyros abyssinica,J1475,620,17,205689,62237,3,Apr-16
Bridelia micrantha,J1476,5243,17.6,205686,62252,3,Apr-16
Passia americana,J1477,7140,47.8,205760,62312,3,Apr-16
Tabernaemontana,J1479,5244,11.5,205756,62313,3,Apr-16
Ficus exasperata,J1482,7849,88.8,205749,62317,3,Apr-16
Cordia millenii,J1483,1186,37.6,205738,62314,3,Apr-16
Albizia grandibracteata,J1485,5246,55.7,205718,62299,3,Apr-16
Celtis durandii,J1487,1170,18.7,205713,62304,3,Apr-16
Albizia grandibracteata,J1489,5247,25,205711,62309,3,Apr-16
Bridelia micrantha,J1491,5248,18.9,205707,62323,3,Apr-16
Maesa lanceolata,J1492,127,17.1,205703,62305,3,Apr-16
Celtis africana,J1494,641,12,205711,62215,3,Apr-16
Celtis africana,J1496,5249,10.4,205711,62213,3,Apr-16
Celtis africana,J1497,5250,50.3,205712,62218,3,Apr-16
Celtis durandii,J1498,639,23.6,205709,62213,4,Apr-16
Ficus exasperata,J1500,5251,68.8,205707,62214,4,Apr-16
Premna angolensis,J1501,616,13.1,205702,62212,4,Apr-16
Celtis africana,J1502,7595,26.1,205701,62211,3,Apr-16
Celtis durandii,J1504,9989/0210,32.8,205690,62221,3,Apr-16
Celtis durandii,J1506,619,24,205685,62215,3,Apr-16
Celtis durandii,J1508,5252,10,205708,62213,3,Apr-16
Oxyanthus,J1510,5253,20.4,205711,62211,3,Apr-16
Diospyros abyssinica,J1512,614,13.9,205709,62208,4,Apr-16
Celtis africana,J1513,214,14.5,205705,62208,4,Apr-16
Celtis africana,J1514,613,13.2,205705,62207,4,Apr-16
Teclea nobilis,J1516,611,35.4,205705,62201,3,Apr-16
Harungana madagascariensis,J1518,5254,12,205712,62208,3,Apr-16
Celtis durandii,J1520,610,22,205704,62197,4,Apr-16
Fagara angolensis,J1522,607,30.1,205707,62195,3,Apr-16
Fagaropsis angolensis,J1524,608,26.6,205711,62193,4,Apr-16
Maesa lanceolata,J1526,5255,13.2,205704,62189,4,Apr-16
Celtis africana,J1528,9998,23.5,205700,62187,4,Apr-16
Celtis africana,J1529,7100,35.3,205699,62184,4,Apr-16
Celtis africana,J1530,609,50.1,205696,62187,4,Apr-16
Maesa lanceolata,J1532,5256,20.5,205702,62188,3,Apr-16
Celtis durandii,J1534,7228,64.8,205692,62199,3,Apr-16
Maesa lanceolata,J1536,5257,10.5,205698,62193,3,Apr-16
Fagara angolensis,J1538,802,66,205712,62197,3,Apr-16
Diospyros abyssinica,J1539,606,34.7,205717,62199,3,Apr-16
Celtis durandii,J1541,605,12.6,205718,62196,3,Apr-16
Celtis africana,J1543,603,14,205719,62197,3,Apr-16
Diospyros abyssinica,J1544,636,16.8,205714,62214,3,Apr-16
Funtumia,J1545,9275/635,51.9,205719,62208,4,Apr-16
Erythrina abyssinica,J1546,637,34.6,205717,62213,4,Apr-16
Celtis durandii,J1547,5258,11,205718,62212,3,Apr-16
Celtis africana,J1549,638,24.5,205722,62223,3,Apr-16
Maesa lanceolata,J1551,634,30.5,205722,62208,3,Apr-16
Polyscias fulva,J1553,306,53.9,205723,62203,3,Apr-16
Funtumia,J1555,633,63.2,205725,62206,3,Apr-16
Diospyros abyssinica,J1557,601,13.9,205722,62199,3,Apr-16
Celtis africana,J1558,602,14,205722,62198,3,Apr-16
